,Title,Genre,Director,Actors,Plot
0,The Shawshank Redemption,"Crime, Drama",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
1,The Godfather,"Crime, Drama",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
2,The Godfather: Part II,"Crime, Drama",Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro","The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate."
3,The Dark Knight,"Action, Crime, Drama",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,12 Angry Men,"Crime, Drama",Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
5,Schindler's List,"Biography, Drama, History",Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans."
6,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",Peter Jackson,"Noel Appleby, Ali Astin, Sean Astin, David Aston",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,Pulp Fiction,"Crime, Drama",Quentin Tarantino,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Fight Club,Drama,David Fincher,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier","An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more."
9,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",Peter Jackson,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.
10,Forrest Gump,"Comedy, Drama, Romance",Robert Zemeckis,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys","While not intelligent, Forrest Gump has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him."
11,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","After the rebels are overpowered by the Empire on their newly established base, Luke Skywalker begins Jedi training with Master Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke."
12,Inception,"Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
13,The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",Peter Jackson,"Bruce Allpress, Sean Astin, John Bach, Sala Baker","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
14,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,"Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown",A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
15,Goodfellas,"Crime, Drama",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","The story of Henry Hill and his life through the teen years into the years of mafia, covering his relationship with wife Karen Hill and his Mob partners Jimmy Conway and Tommy DeVitto in the Italian-American crime syndicate."
16,The Matrix,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
17,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader."
18,Se7en,"Crime, Drama, Mystery",David Fincher,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
19,It's a Wonderful Life,"Drama, Family, Fantasy",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
20,The Silence of the Lambs,"Crime, Drama, Thriller",Jonathan Demme,"Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
21,The Usual Suspects,"Crime, Drama, Mystery",Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
22,Léon: The Professional,"Crime, Drama, Thriller",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade."
23,Saving Private Ryan,"Drama, War",Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
24,City Lights,"Comedy, Drama, Romance",Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
25,Interstellar,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
26,American History X,"Crime, Drama",Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
27,Modern Times,"Comedy, Drama, Family",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
28,Casablanca,"Drama, Romance, War",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains","In Casablanca in December 1941, a cynical American expatriate encounters a former lover, with unforeseen complications."
29,The Green Mile,"Crime, Drama, Fantasy",Frank Darabont,"Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
30,Psycho,"Horror, Mystery, Thriller",Alfred Hitchcock,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
31,Raiders of the Lost Ark,"Action, Adventure",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.
32,The Pianist,"Biography, Drama, Music",Roman Polanski,"Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
33,Rear Window,"Mystery, Thriller",Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.
34,The Departed,"Crime, Drama, Thriller",Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
35,Whiplash,"Drama, Music",Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
36,Terminator 2: Judgment Day,"Action, Sci-Fi, Thriller",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced cyborg."
37,Back to the Future,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
38,Gladiator,"Action, Adventure, Drama",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge."
39,The Lion King,"Animation, Adventure, Drama","Roger Allers, Rob Minkoff","Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings",Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.
40,The Prestige,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo",Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.
41,Apocalypse Now,"Drama, War",Francis Ford Coppola,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe."
42,Memento,"Mystery, Thriller",Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.
43,The Great Dictator,"Comedy, Drama, War",Charles Chaplin,"Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
44,Sunset Boulevard,"Drama, Film-Noir",Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.
45,Alien,"Horror, Sci-Fi",Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious life-form, and they soon realize that its life cycle has merely begun."
46,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.
47,Paths of Glory,"Drama, War",Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
48,Django Unchained,"Drama, Western",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
49,The Shining,"Drama, Horror",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers","A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
50,Witness for the Prosecution,"Crime, Drama, Mystery",Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
51,The Dark Knight Rises,"Action, Thriller",Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
52,WALL·E,"Animation, Adventure, Family",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
53,American Beauty,"Drama, Romance",Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
54,Once Upon a Time in America,"Crime, Drama",Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
55,Aliens,"Action, Adventure, Sci-Fi",James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","The moon from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?"
56,Citizen Kane,"Drama, Mystery",Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance."
57,North by Northwest,"Action, Adventure, Mystery",Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis","A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive."
58,Vertigo,"Mystery, Romance, Thriller",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore","A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
59,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap."
60,Braveheart,"Biography, Drama, History",Mel Gibson,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo","When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England."
61,Reservoir Dogs,"Crime, Drama, Thriller",Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn","After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
62,Double Indemnity,"Crime, Drama, Film-Noir",Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.
63,Requiem for a Dream,Drama,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
64,Lawrence of Arabia,"Adventure, Biography, Drama",David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
65,The Kid,"Comedy, Drama, Family",Charles Chaplin,"Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin","The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
66,A Clockwork Orange,"Crime, Drama, Sci-Fi",Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke","In future Britain, Alex DeLarge, a charismatic and psycopath delinquent, who likes to practice crimes and ultra-violence with his gang, is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan."
67,Amadeus,"Biography, Drama, History",Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum."
68,To Kill a Mockingbird,"Crime, Drama",Robert Mulligan,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
69,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",Michel Gondry,"Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood","When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with."
70,Singin' in the Rain,"Comedy, Musical, Romance","Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",A silent film production company and cast make a difficult transition to sound.
71,Taxi Driver,"Crime, Drama",Martin Scorsese,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, while attempting to save a preadolescent prostitute in the process."
72,The Sting,"Comedy, Crime, Drama",George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning","In Chicago in September 1936, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker."
73,Toy Story 3,"Animation, Adventure, Comedy",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
74,2001: A Space Odyssey,"Adventure, Sci-Fi",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest."
75,Full Metal Jacket,"Drama, War",Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
76,Baby Driver,"Action, Crime, Music",Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
77,Toy Story,"Animation, Adventure, Comedy",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
78,Inglourious Basterds,"Adventure, Drama, War","Quentin Tarantino, Eli Roth","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
79,Snatch,"Comedy, Crime",Guy Ritchie,"Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
80,The Apartment,"Comedy, Drama, Romance",Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
81,All About Eve,Drama,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.
82,Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","King Arthur and his knights embark on a low-budget search for the Grail, encountering many, very silly obstacles."
83,Scarface,"Crime, Drama",Brian De Palma,"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio","In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
